tokenizer_id,corpus_id,mask,tokenizer_fingerprint,corpus_sha,code_version,n_chars,n_mask,n_gold_words,n_tokens,n_tokens_accepted,b_tp,b_fp,b_fn,b_tn,w_tp,w_pred,w_gold,w_intact,crossing_tokens,f_midcodepoint,f_cluster_split,f_overlap_rejected,f_dropped_chars,f_prefix_space_trim,n_sents
baichuan-m2,sighan_pku,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,b2a4d594aa65a829a81df1b6afce55ee-af9331ff81d8,c1-b1-a1,172733,135942,104372,111412,111403,59392,16269,10405,49876,42835,77605,71741,91503,9915,9,0,0,4,0,1944
baichuan-m2,sighan_pku,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,b2a4d594aa65a829a81df1b6afce55ee-af9331ff81d8,c1-b1-a1,172733,170789,104372,111412,111403,91074,18385,11354,49976,70802,111403,104372,91503,10864,9,0,0,4,0,1944
baichuan-m2,sighan_pku,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,b2a4d594aa65a829a81df1b6afce55ee-af9331ff81d8,c1-b1-a1,172733,170789,104372,111412,111403,91074,18385,11354,49976,70802,111403,104372,91503,10864,9,0,0,4,0,1944
baichuan-m2,ud_th_pud,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,4b0e1b9bb0262e2aedf915e4322e9c30-af9331ff81d8,c1-b1-a1,98318,50336,22330,56058,56050,17736,11881,1145,19574,11599,30617,19881,6386,1145,8,21597,0,0,0,1000
baichuan-m2,ud_th_pud,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,4b0e1b9bb0262e2aedf915e4322e9c30-af9331ff81d8,c1-b1-a1,98318,55046,22330,56058,56050,21474,11979,2012,19581,14164,34453,24486,6386,2011,8,21597,0,0,0,1000
baichuan-m2,ud_th_pud,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,4b0e1b9bb0262e2aedf915e4322e9c30-af9331ff81d8,c1-b1-a1,98318,97318,22330,56058,56050,21474,33576,2012,40256,6518,56050,24486,6386,2011,8,21597,0,0,0,1000
baichuan-m2,ud_yue_hk,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,c57eef85e9d45467b37b16a74061fa07-af9331ff81d8,c1-b1-a1,18633,12998,13918,18061,15973,8013,2428,426,2131,6619,11445,9443,11730,417,2088,0,0,1,0,1004
baichuan-m2,ud_yue_hk,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,c57eef85e9d45467b37b16a74061fa07-af9331ff81d8,c1-b1-a1,18633,17629,13918,18061,15973,12476,2493,439,2221,10908,15973,13919,11730,430,2088,0,0,1,0,1004
baichuan-m2,ud_yue_hk,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,c57eef85e9d45467b37b16a74061fa07-af9331ff81d8,c1-b1-a1,18633,17629,13918,18061,15973,12476,2493,439,2221,10908,15973,13919,11730,430,2088,0,0,1,0,1004
baichuan-m2,ud_zh_gsd,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,8cac770ebc7b997f152fcbf748555fd2-af9331ff81d8,c1-b1-a1,19235,15035,12010,15654,15407,7213,4074,726,3022,4385,11787,8439,8841,707,247,0,0,3,0,500
